Province_State,2020_Confirmed,2021_Confirmed,2022_Confirmed,Population,2020_Deaths,2021_Deaths,2022_Deaths,2020_Incident_Rate,2021_Incident_Rate,2022_Incident_Rate
Nevada,224731,257595,305033,3080156,3122,5276,2770,0.07296091496664454,0.08363050442899646,0.09903167242178643
New Hampshire,44882,152735,138885,1359711,759,1202,662,0.03300848489127469,0.1123290169749307,0.10214302892305792
New Jersey,529027,1029210,981101,8882190,19042,9877,5187,0.05956042372432925,0.11587345012885336,0.11045710573631053
New Mexico,142864,205901,237613,2096829,2477,3353,2352,0.06813335756039238,0.098196371759452,0.11332016106225162
New York,978783,2484464,2274509,19453561,37799,21535,10602,0.05031382172138047,0.12771255607135373,0.11691993049498753
North Carolina,539545,1147122,1262531,10488084,6748,12678,6009,0.051443619254002926,0.10937383796697281,0.12037765906527827
North Dakota,92092,82147,81371,762062,1299,741,247,0.12084581044586923,0.10779569116423598,0.10677740131380387
Ohio,700380,1315702,902271,11689100,13620,18127,6965,0.05991735890701594,0.11255802414214952,0.07718909069132782
Oklahoma,291209,417729,407540,3956971,2489,9930,3797,0.07359391817630202,0.10556786996922646,0.10299292059507133
Oregon,113909,307354,425428,4217737,1477,4178,2388,0.027007136765521415,0.07287177934517966,0.10086641248612704
Pennsylvania,648574,1379353,1000352,12801989,16030,20460,9333,0.050661971354607475,0.10774521052939508,0.07814035772097601
Rhode Island,87949,143147,178356,1059361,1930,1122,562,0.08302080216281324,0.13512579753266357,0.16836187097693797
South Carolina,307507,667813,629845,5148714,5296,9340,3556,0.0597250109444805,0.12970481561026695,0.12233054700649522
South Dakota,99164,80040,69584,884659,1488,998,461,0.11209290811487817,0.09047553916254737,0.07865629581567588
Tennessee,585505,844653,744852,6829174,6907,13810,6187,0.08573584448133845,0.12368303985225738,0.10906912021863845
Texas,1803482,2803577,2819400,28995881,28066,47385,13410,0.062197868724871645,0.09668880210951342,0.09723450030712982
Utah,276612,360380,367434,3205958,1269,2518,1097,0.08628060629615235,0.11240945764105456,0.11460973599778912
Vermont,7412,57035,72817,623989,136,335,218,0.011878414523332943,0.09140385487564684,0.11669596739686117
Virginia,349584,763752,825607,8535519,5032,10506,5290,0.0409563847259903,0.08947926892319026,0.09672604559839888
Washington,246751,602323,876970,7614893,3461,6392,3708,0.032403738305974886,0.07909802540889281,0.11516511131541836
West Virginia,85334,240342,223759,1792147,1338,3975,1793,0.047615513682750354,0.134108418561647,0.12485527135887849
Wisconsin,520438,598140,649880,5822434,5242,5919,3727,0.08938495481442985,0.10273023275145755,0.11161655074149403
Wyoming,44409,71229,54394,578759,438,1088,331,0.07673142015934094,0.12307195222882063,0.09398385165500667
